x,y,z,I
808537.8300000001,6484613.0,498.38,1320.0
808536.03,6484617.69,498.39,3318.0
808535.56,6484618.51,498.40000000000003,2784.0
808534.12,6484621.01,498.41,1676.0
808536.16,6484612.29,498.41,2172.0
808532.87,6484623.59,498.41,3115.0
808532.29,6484625.29,498.42,2927.0
808531.93,6484625.850000001,498.43,2937.0
808535.67,6484613.24,498.44,1441.0
808537.27,6484608.37,498.44,2137.0
808532.14,6484625.21,498.45,3369.0
808537.4,6484607.84,498.45,1885.0
808532.89,6484624.05,498.45,3118.0
808536.13,6484611.87,498.46000000000004,1987.0
808535.67,6484612.93,498.47,2022.0
808535.37,6484613.76,498.48,2082.0
808536.0800000001,6484611.75,498.48,2455.0
808533.23,6484622.74,498.49,3183.0
808534.03,6484618.3100000005,498.5,1469.0
808536.42,6484610.44,498.5,2305.0
808537.03,6484608.4,498.51,2174.0
808536.1900000001,6484610.96,498.51,2180.0
808531.61,6484625.95,498.51,2050.0
808535.38,6484617.11,498.52000000000004,3414.0
808534.23,6484618.69,498.52000000000004,1710.0
808532.53,6484623.48,498.53000000000003,2512.0
808534.6,6484614.26,498.54,3248.0
808535.47,6484612.48,498.55,2151.0
808534.73,6484613.890000001,498.55,2759.0
808535.48,6484612.44,498.55,2624.0
808535.75,6484611.66,498.56,2814.0
808533.16,6484620.76,498.57,1938.0
808532.98,6484620.84,498.58,2837.0
808532.4,6484622.38,498.59000000000003,2796.0
808536.99,6484607.5,498.59000000000003,2621.0
808533.12,6484619.34,498.6,3008.0
808534.71,6484613.49,498.6,3369.0
808532.54,6484620.63,498.61,2682.0
808536.71,6484608.5,498.61,2915.0
808532.0700000001,6484622.33,498.62,2783.0
808531.48,6484625.5,498.62,2876.0
808533.41,6484622.54,498.63,3514.0
808532.74,6484620.2,498.63,3190.0
808535.13,6484612.58,498.64,2491.0
808535.18,6484612.13,498.64,2637.0
808533.43,6484619.82,498.64,2385.0
808535.9,6484609.82,498.66,2782.0
808536.99,6484606.76,498.66,2996.0
808534.0800000001,6484614.57,498.67,2816.0
808531.21,6484625.100000001,498.67,3226.0
808535.6,6484610.18,498.68,3082.0
808537.28,6484605.8100000005,498.68,3171.0
808535.75,6484609.66,498.69,2899.0
808537.5800000001,6484604.62,498.7,2824.0
808534.49,6484612.73,498.71000000000004,3084.0
808532.98,6484617.88,498.72,2380.0
808536.68,6484606.67,498.72,3035.0
808535.15,6484610.78,498.72,2746.0
808536.5800000001,6484607.640000001,498.73,2644.0
808536.3300000001,6484608.0600000005,498.73,2778.0
808533.76,6484619.79,498.74,2357.0
808537.76,6484602.7700000005,498.75,2853.0
808531.81,6484622.07,498.75,2943.0
808535.06,6484610.47,498.76,3018.0
808536.0700000001,6484607.74,498.77000000000004,3084.0
808533.54,6484614.850000001,498.77000000000004,3127.0
808531.65,6484621.73,498.78000000000003,2595.0
808531.2000000001,6484623.08,498.78000000000003,2565.0
808535.8,6484608.28,498.79,3236.0
808530.72,6484624.78,498.79,2954.0
808532.78,6484616.850000001,498.8,2608.0
808533.3,6484615.32,498.8,3201.0
808537.56,6484602.3,498.81,2704.0
808535.74,6484607.83,498.81,3018.0
808537.0800000001,6484613.11,498.83,2710.0
808536.02,6484606.84,498.83,2882.0
808532.5,6484617.4,498.84000000000003,2543.0
808531.14,6484622.04,498.84000000000003,2714.0
808532.3300000001,6484618.22,498.85,2567.0
808530.25,6484624.44,498.85,2883.0
808534.61,6484611.42,498.86,2720.0
808531.2000000001,6484621.18,498.86,2857.0
808533.39,6484614.29,498.87,2447.0
808533.21,6484614.74,498.88,2741.0
808535.71,6484606.93,498.89,2730.0
808529.5800000001,6484625.97,498.89,2983.0
